seed,Vth,OffCurrent,OnCurrent,OnOffRatio,Weff
78,0.362309,5.50315e-12,3.40892e-05,6.19449e+06,52
79,0.361221,6.86804e-12,3.41935e-05,4.97864e+06,52
80,0.377549,3.95109e-12,3.39149e-05,8.58370e+06,52
81,0.369465,4.15179e-12,3.40214e-05,8.19439e+06,52
82,0.351207,8.17833e-12,3.38759e-05,4.14215e+06,52
83,0.369765,5.3188e-12,3.39908e-05,6.39069e+06,52
84,0.357088,8.98409e-12,3.42562e-05,3.81298e+06,52
85,0.363678,6.04974e-12,3.4052e-05,5.62868e+06,52
86,0.377443,3.43202e-12,3.38281e-05,9.85660e+06,52
87,0.364668,5.23442e-12,3.40493e-05,6.50489e+06,52
88,0.363592,5.84753e-12,3.39916e-05,5.81299e+06,52
89,0.349295,8.78483e-12,3.42456e-05,3.89826e+06,52
90,0.36708,4.78653e-12,3.392e-05,7.08656e+06,52
91,0.369306,4.39223e-12,3.39921e-05,7.73915e+06,52
92,0.36686,5.03544e-12,3.39632e-05,6.74482e+06,52
93,0.362623,5.85074e-12,3.41373e-05,5.83470e+06,52
94,0.365169,5.02075e-12,3.39068e-05,6.75334e+06,52
95,0.366706,5.52369e-12,3.40132e-05,6.15770e+06,52
96,0.357898,7.2063e-12,3.41339e-05,4.73667e+06,52
97,0.374454,3.63802e-12,3.39166e-05,9.32282e+06,52
98,0.370869,4.49141e-12,3.39339e-05,7.55529e+06,52
99,0.358706,6.0301e-12,3.40452e-05,5.64588e+06,52
100,0.36317,6.78367e-12,3.40287e-05,5.01627e+06,52
101,0.359076,7.42391e-12,3.41687e-05,4.60252e+06,52
102,0.372515,4.80539e-12,3.38602e-05,7.04631e+06,52
103,0.372029,4.54576e-12,3.39183e-05,7.46152e+06,52
104,0.364781,4.71717e-12,3.39813e-05,7.20374e+06,52
105,0.357531,7.46295e-12,3.41023e-05,4.56955e+06,52
106,0.363134,6.36603e-12,3.41149e-05,5.35890e+06,52
107,0.371114,5.24114e-12,3.41144e-05,6.50897e+06,52
108,0.368186,5.37844e-12,3.39381e-05,6.31002e+06,52
109,0.361826,5.5465e-12,3.415e-05,6.15704e+06,52
110,0.373804,4.29306e-12,3.39171e-05,7.90044e+06,52
111,0.383126,3.19199e-12,3.37079e-05,1.05601e+07,52
112,0.367158,5.13076e-12,3.39883e-05,6.62441e+06,52
113,0.366931,5.39479e-12,3.38159e-05,6.26825e+06,52
114,0.355912,7.57087e-12,3.40903e-05,4.50282e+06,52
115,0.380476,3.53668e-12,3.40191e-05,9.61894e+06,52
116,0.365207,5.44332e-12,3.38968e-05,6.22723e+06,52
117,0.368309,5.97636e-12,3.41309e-05,5.71099e+06,52
118,0.36711,4.94694e-12,3.38334e-05,6.83925e+06,52
119,0.364542,5.64318e-12,3.39677e-05,6.01926e+06,52
120,0.358523,6.88446e-12,3.4105e-05,4.95391e+06,52
121,0.36538,5.61328e-12,3.41082e-05,6.07634e+06,52
122,0.371492,4.57406e-12,3.40211e-05,7.43784e+06,52
123,0.366256,5.22771e-12,3.40427e-05,6.51198e+06,52
124,0.360881,6.67353e-12,3.42707e-05,5.13531e+06,52
125,0.368786,5.23969e-12,3.40115e-05,6.49112e+06,52
126,0.357178,7.61534e-12,3.40957e-05,4.47724e+06,52
127,0.354669,7.9738e-12,3.42942e-05,4.30086e+06,52
128,0.363299,6.19824e-12,3.39563e-05,5.47838e+06,52
129,0.370707,3.98543e-12,3.38054e-05,8.48225e+06,52
130,0.365123,5.17602e-12,3.42167e-05,6.61063e+06,52
131,0.353705,7.55138e-12,3.42158e-05,4.53107e+06,52
132,0.361663,6.73723e-12,3.42319e-05,5.08101e+06,52
133,0.354927,7.98707e-12,3.4043e-05,4.26226e+06,52
134,0.373071,4.71683e-12,3.40754e-05,7.22422e+06,52
135,0.359971,7.09281e-12,3.40895e-05,4.80621e+06,52
136,0.369693,4.75744e-12,3.39968e-05,7.14602e+06,52
137,0.367376,5.30011e-12,3.4004e-05,6.41571e+06,52
138,0.357086,6.52853e-12,3.40257e-05,5.21185e+06,52
139,0.363543,5.43342e-12,3.39082e-05,6.24067e+06,52
140,0.359555,6.22745e-12,3.40637e-05,5.46993e+06,52
141,0.367807,4.51443e-12,3.4041e-05,7.54049e+06,52
142,0.362045,6.34414e-12,3.40717e-05,5.37057e+06,52
143,0.364027,5.3748e-12,3.39883e-05,6.32363e+06,52
144,0.362031,6.44135e-12,3.41488e-05,5.30150e+06,52
145,0.374208,4.65809e-12,3.37754e-05,7.25092e+06,52
146,0.362347,6.48059e-12,3.40827e-05,5.25920e+06,52
147,0.371912,4.63726e-12,3.41633e-05,7.36713e+06,52
148,0.36456,5.64998e-12,3.4066e-05,6.02941e+06,52
149,0.364982,6.03187e-12,3.40341e-05,5.64238e+06,52
150,0.37041,4.56766e-12,3.40641e-05,7.45765e+06,52
151,0.369497,4.9973e-12,3.40562e-05,6.81491e+06,52
152,0.357784,7.2929e-12,3.40929e-05,4.67480e+06,52
153,0.359149,7.18517e-12,3.41372e-05,4.75106e+06,52
154,0.365644,5.78847e-12,3.41148e-05,5.89357e+06,52
155,0.361532,6.04486e-12,3.40623e-05,5.63491e+06,52
156,0.370107,4.38464e-12,3.39618e-05,7.74564e+06,52
157,0.368986,4.4917e-12,3.40631e-05,7.58357e+06,52
158,0.360526,7.68281e-12,3.42398e-05,4.45668e+06,52
159,0.363935,5.27764e-12,3.40993e-05,6.46108e+06,52
160,0.374386,4.21728e-12,3.3909e-05,8.04048e+06,52
161,0.364213,6.99186e-12,3.41813e-05,4.88873e+06,52
162,0.375309,3.64622e-12,3.39956e-05,9.32351e+06,52
163,0.360972,5.92284e-12,3.38264e-05,5.71117e+06,52
164,0.360046,6.09081e-12,3.41014e-05,5.59884e+06,52
165,0.369514,4.63514e-12,3.40164e-05,7.33881e+06,52
166,0.35594,6.85151e-12,3.41409e-05,4.98297e+06,52
167,0.370964,4.25779e-12,3.39044e-05,7.96291e+06,52
168,0.365897,7.17466e-12,3.40365e-05,4.74399e+06,52
169,0.364156,6.50398e-12,3.39718e-05,5.22323e+06,52
170,0.369824,6.64184e-12,3.40588e-05,5.12791e+06,52
171,0.36138,6.58027e-12,3.40822e-05,5.17946e+06,52
172,0.362477,6.36809e-12,3.41472e-05,5.36224e+06,52
